NAME:,run_5_2.csv,,
EXPERIMENT TIME:,23/05/2022 21:18,,
ACTIVITY TYPE:,Running,,
COUNT OF ACTUAL STEPS,165,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
16.042,13.6,-0.08,13.91
16.073,-4.98,-14.6,26.89
16.105,-3.76,-5.37,15.54
16.124,-8.05,-10.3,16.03
16.155,-1.23,-3.17,12.19
16.183,0.79,-1.46,9.92
16.207,-4.86,0.26,5.93
16.239,-9.3,-3.22,3.6
16.274,-5.37,1.56,0.23
16.309,-5.37,0.97,1.05
16.343,-0.54,-2.74,0.59
16.372,-0.59,-11.32,20.4
16.391,13.45,-10.76,19.12
16.423,-0.82,-8.54,23.36
16.424,-13.09,-7.18,22.21
16.454,-5.78,-5.39,18.12
16.489,-2.45,-1.64,9.51
16.522,1.79,-0.2,0.84
16.554,3.5,-1.02,-4.37
16.587,8.08,-2.74,-12.63
16.66,9.2,-1.41,-10.76
16.696,-2.63,6.31,8.56
16.732,-9.69,-5.42,16.21
16.733,11.38,-9.48,31.49
16.766,-8.26,-0.54,-8.64
16.794,11.66,2.86,3.48
16.794,8.74,-11.48,32.36
16.826,-7.26,-5.96,18.56
16.859,-7.69,-9.36,17.59
16.895,-2.45,-7.23,13.24
16.927,1.07,-2.17,11.68
16.964,-2.79,-0.64,8.61
16.998,-9.59,-3.02,4.01
16.999,-7.08,1.33,0.2
17.03,-5.6,1.43,0.89
17.061,-2.63,-2.35,-0.84
17.097,0.43,-8.67,15.06
17.098,8.44,-12.99,20.68
17.135,9.15,-8.51,22.6
17.168,-4.91,-9.79,25.92
17.202,-12.99,-6.31,20.68
17.238,-5.16,-2.86,14.57
17.287,0.59,-0.28,4.7
17.319,3.58,-1.66,-2.2
17.356,7.9,-2.76,-8.44
17.389,11.22,-3.14,-12.45
17.433,3.99,3.17,2.25
17.479,-7.75,-0.79,16.33
17.532,-7.18,-3.99,6.06
17.533,29.75,-8.21,26.99
17.534,7.11,-10.86,30.09
17.581,-8.15,-7.44,19.2
17.631,-4.14,-7.82,15.03
17.633,-2.28,-6.03,12.86
17.681,-0.03,-0.51,10.05
17.683,-4.78,-0.72,7.82
17.732,-6.93,-4.17,3.22
17.782,-6.19,2.02,0.79
17.785,-5.34,0.89,0.05
17.835,-3.43,-2.53,-1.64
17.837,0.51,-5.67,10.53
17.885,7.87,-12.7,23.13
17.887,5.88,-8.95,22.39
17.945,-8.15,-8.51,24.11
17.984,-10.15,-7.06,20.63
18.031,-4.04,-2.07,13.91
18.033,0.77,-0.54,4.47
18.076,2.76,-1.33,-2.76
18.078,5.55,-0.33,-5.14
18.381,8.79,-2.38,-11.89
18.464,4.19,1.05,2.61
18.868,-3.83,4.52,17.33
18.948,-0.49,-5.67,22.65
18.949,-2.76,-4.04,22.44
18.951,2.17,-14.39,12.99
18.991,4.32,3.37,-12.88
19.039,10.46,-6.65,26
19.091,-7.85,-10.63,21.06
19.093,-6.24,-7.52,15.49
19.094,-3.81,-11.07,15.85
19.159,1,-2.97,12.76
19.201,0.03,-0.79,8.38
19.31,-6.21,2.58,0.2
19.313,-5.24,-0.15,-1.51
19.368,-0.69,-4.32,1.51
19.409,1.84,-13.45,23.42
19.451,18.43,-10.46,20.27
19.453,3.96,-7.08,22.83
19.499,-12.55,-8.1,22.9
19.539,-8.56,-4.75,18.61
19.59,7.44,-1.94,-10.4
19.592,11.94,-2.74,-11.96
19.641,0.92,5.9,5.55
19.643,-8.82,-7.39,19.58
19.692,6.9,-1.02,22.98
19.694,-7.41,-12.42,-1.12
19.743,9.2,3.02,0.49
19.791,3.63,-11.04,28.68
19.792,-7.18,-6.39,18.15
19.844,-8.87,-9.38,17.31
19.847,-3.73,-5.62,13.85
19.892,2.53,-2.38,10.17
19.943,-0.74,-0.59,7.59
19.945,-8.51,-2.61,3.76
19.992,-8.56,1.3,0.38
19.994,-5.11,2.25,1.56
20.045,-4.19,-2.84,-0.79
20.096,0,-6.34,14.39
20.098,12.17,-12.53,20.4
20.1,1.89,-8.08,21.34
20.146,-8.87,-8.82,25.03
20.192,-8.74,-5.98,19.84
20.241,-4.35,-1.56,12.55
20.242,1,-0.69,2.84
20.294,3.58,-0.72,-2.12
20.295,8.26,-1.64,-9.76
20.345,9.71,-2.4,-14.55
20.396,-1.28,6.29,5.21
20.398,-9.46,-4.88,26.07
20.449,2.89,-18.56,31.72
20.451,-0.77,7.9,-21.29
20.497,16.56,3.86,5.65
20.547,-3.86,-19.91,28.83
20.593,-3.27,-3.22,14.16
20.595,-6.24,-9.25,16.56
20.645,0.64,-4.47,11.58
20.695,-8.28,-3.91,5.47
20.696,-5.47,1.35,1.1
20.748,-5.57,1.69,0.72
20.797,-3.63,-1.97,-1.46
20.798,0.33,-6.85,11.07
20.848,9.51,-12.32,21.32
20.85,5.78,-7.69,22.39
20.893,-7.69,-8.03,23.77
20.894,-12.12,-6.16,21.45
