NAME:,run4,,
EXPERIMENT TIME:,24-05-22 16:53,,
Activity,Running,,
COUNT OF ACTUAL STEPS,120,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
16.579,-14.63,13.81,6.04
16.626,-11.18,14.16,5.84
16.672,-8.32,10.16,1.77
16.717,-3.1,3.57,-1.22
16.763,0.08,-1.18,-1.96
16.809,-0.82,-1.06,2.47
16.856,-0.12,-0.16,-0.04
16.901,-2.2,2.08,5.3
16.95,-19.93,13.06,-17.85
16.995,-3.77,11.73,6.2
17.042,-12.2,14.16,5.02
17.089,-12,11.57,2.35
17.136,-6.86,10.04,-1.77
17.182,-1.18,2.04,-2.86
17.228,0,-2.08,-2
17.273,1.06,-0.08,0.9
17.317,-3.14,1.84,0.94
17.364,-18.99,-0.75,9.53
17.41,-8,20.01,9.41
17.457,-14.47,5.84,-0.75
17.504,-13.93,18.87,8.51
17.55,-8.47,10.55,4.31
17.594,-6.35,1.84,1.06
17.64,0.86,-0.43,-1.33
17.686,2.2,-2.24,-2.31
17.732,-2.08,0.39,-2.51
17.777,-1.69,0.27,0.47
17.82,2.24,2.28,9.34
17.869,-16.63,20.01,-20.01
17.915,-3.02,12.04,6
17.962,-15.69,17.53,3.61
18.008,-9.22,11.73,2.35
18.053,-4.47,6.04,3.37
18.098,0.24,0.94,-1.53
18.144,-0.31,-2.2,-2.79
18.19,-1.02,-0.16,0.98
18.236,-1.57,1.61,-0.16
18.282,-18.48,0.27,4.67
18.329,-9.61,20.01,12.63
18.375,-14.79,9.53,0.16
18.422,-12.28,16.71,6.98
18.466,-8.79,9.96,3.84
18.511,-5.26,2.2,0.94
18.557,-1.41,2.39,-0.55
18.604,-0.04,-0.67,-2.35
18.65,-0.71,-1.69,0.24
18.697,-0.82,-0.24,-0.24
18.742,-3.57,3.61,17.85
18.789,-20.01,20.01,1.8
18.835,-6.94,13.14,6.67
18.882,-14.63,17.34,6.2
18.928,-9.41,11.65,2.39
18.973,-5.18,6.63,0.63
19.018,1.14,-1.92,-3.53
19.064,0.82,-1.49,-0.59
19.109,-1.37,2.63,1.77
19.156,-3.61,-1.29,-0.35
19.201,-5.41,8.28,8.87
19.249,-17.73,15.26,19.89
19.295,-16.71,11.57,4.28
19.342,-12.75,13.3,5.77
19.387,-8.43,8.9,2.47
19.433,-3.53,3.06,-1.8
19.478,0.67,0.71,-2.31
19.525,-1.57,-0.12,-1.69
19.572,-0.2,-0.12,-0.16
19.616,-1.29,0.04,2.16
19.663,-13.34,7.02,20.01
19.711,-18.16,11.18,13.93
19.758,-12.32,15.85,7.96
19.805,-15.1,13.53,4.63
19.851,-7.77,11.26,3.3
19.897,-0.78,4.47,-0.75
19.942,1.14,-2.63,-3.61
19.988,-1.26,0.16,-0.47
20.034,-2.59,1.73,-0.75
20.079,-1.37,2.51,0.241481636
20.266,-11.92,16,8.901481821
20.773,-7.02,9.06,1.491482328
21.048,-6.24,11.57,5.06
21.093,-20.01,9.96,3.77
21.14,-15.49,10.08,5.22
21.186,-9.18,15.34,6.39
21.231,-5.45,5.3,0.16
21.277,-0.39,2,-0.63
21.323,1.45,-1.14,-2.31
21.369,-1.29,-0.9,-0.67
21.415,-0.43,-0.59,1.69
21.461,-3.73,3.53,12.67
21.51,-20.01,20.01,-11.85
21.556,-3.22,11.26,7.53
21.603,-16.67,17.57,5.96
21.649,-9.65,10.4,1.45
21.694,-3.53,5.96,-2.79
21.74,0.35,-1.92,-3.18
21.785,0.94,-2.59,0.16
21.83,-1.14,0.94,2.16
21.875,0,1.8,-0.2
21.922,-18.55,1.61,11.41
21.969,-10.47,20.01,14.67
22.016,-12.83,8.79,-2.55
22.063,-14.44,19.97,8.79
22.108,-8.32,8.63,1.65
22.153,-3.65,6.63,0.9
22.199,1.49,-0.82,-2.2
22.244,0.71,-1.22,-0.71
22.289,-1.1,0.04,0.16
22.335,-0.82,-0.9,1.37
22.382,-15.61,6.28,20.01
22.43,-20.01,12.79,18.67
22.475,-6.75,9.26,7.14
22.522,-19.69,17.18,4.59
22.567,-5.02,10.24,3.1
22.613,-1.8,3.1,-2.63
22.659,0,-2.59,-1.69
22.704,0.47,-1.57,0.16
22.749,-3.02,0.82,1.53
22.793,0.12,3.37,-0.94
22.841,-20.01,-0.51,15.06
22.889,-17.42,13.61,19.46
22.936,-14.83,11.18,3.49
22.983,-12.28,17.61,8.32
23.03,-10.4,11.3,2.59
23.076,-3.77,4.94,-2.47
23.12,0,0.59,-1.1
23.166,0.2,-0.98,-0.71
23.211,0.04,-1.1,0.39
23.258,-2.98,-1.1,-1.69
23.304,-6.39,6.08,19.97
23.352,-20.01,20.01,-6.2
23.398,-6.94,13.45,2.12
23.444,-16.12,16.75,4.51
23.49,-6.9,11.26,1.1
23.536,-1.45,4.2,-0.35
23.582,0.78,-3.1,-4
23.627,0.59,-1.61,0.47
23.673,-2.51,0.35,-0.39
23.718,-6.71,-0.43,0.67
23.763,0.08,15.73,0.75
23.809,-20.01,8.59,5.33
23.856,-15.69,12.59,7.14
23.903,-10.75,13.1,6.98
23.948,-8.2,7.14,2.79
23.993,-2.08,2.16,-1.61
24.039,1.84,-0.47,-2.12
24.086,-0.31,-0.24,-5.73
24.131,1.1,-0.71,0.78
24.177,-3.88,1.57,-3.22
24.223,-9.34,7.53,20.01
24.27,-19.42,13.3,13.53
24.316,-8.47,11.41,7.61
24.363,-16.71,16.83,4.47
24.409,-5.77,10.63,3.02
24.455,-1.84,2.47,-1.61
24.502,-0.86,-2.94,-5.3
24.548,0.47,-0.98,-0.31
24.593,-2.9,0.35,-0.43
24.639,-5.22,-1.1,1.73
24.685,-1.22,17.73,5.53
24.731,-20.01,7.69,2.51
24.778,-13.93,14.79,5.41
24.825,-11.73,12.87,4.51
24.869,-9.38,6.51,1.45
24.915,-1.02,4.16,-0.78
24.96,0.47,0.82,-2.08
25.007,-0.78,-0.98,-0.71
25.052,1.29,-1.02,0.51
25.099,-4.43,-0.39,-3.45
25.144,0.67,10.75,20.01
25.191,-20.01,13.77,7.81
25.237,-4.43,12.2,4.2
25.284,-15.97,16.95,3.84
25.33,-7.69,12.04,4.71
25.375,-4.86,3.33,4.98
25.42,1.53,-2.94,-4.28
25.466,1.29,-3.1,-1.73
25.511,-3.84,2.39,1.65
25.558,-0.08,-0.47,-1.02
25.606,-20.01,-5.77,14.87
25.653,-2.98,20.01,12.12
25.701,-13.89,13.77,-3.41
25.748,-14.51,18.99,5.65
25.794,-11.49,13.96,4.55
25.839,-6.28,3.88,0.75
25.884,-0.98,0.35,0.59
25.93,1.88,-1.65,-2.31
25.976,-2.35,-1.92,0
26.021,-0.16,-0.24,2
26.068,-2.63,-0.47,-0.98
26.115,-20.01,7.37,20.01148767
26.209,-10.24,12.87,9.921487766
26.302,-5.61,10.08,2.281487856
26.848,1.02,0.63,-1.921488404
27.264,-7.14,6.98,2.351488819
