NAME: ,team10 run2,,
EXPERIMENT TIME: ,Mon May 23 14:21:04 GMT+03:00 2022,,
ACTIVITY TYPE: ,Run,,
COUNT OF ACTUAL STEPS: ,130,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
47.6,-0.38,11.32,4.78
47.7,1.03,18.05,-9.18
47.8,0.04,4.67,-9.4874415
48,5.24,17.17,-5.4774417
48.6,2.1,7.42,-9.8774423
49.2,-0.04,8.11,0.5474429
-7394.070744,0,-0.34,-2.0774441
-7393.516,-4.7074452,-8.72,-7.11
51.8,-2.75,3.33,3.02
51.9,4.44,19.47,-2.1
52,4.13,12.81,-9.64
52.1,-1.38,-0.88,-0.23
52.2,3.48,7.76,4.32
52.3,-4.86,10.75,-3.33
52.4,-5.7,16.22,-7.8
52.5,-0.19,3.17,-2.41
52.6,0.19,-0.38,-3.06
52.7,15.3,19.51,-3.6
52.8,2.22,18.89,-11.78
52.9,-2.07,-1.19,-2.94
53,0.92,2.6,-3.1
53.1,-8.57,19.51,-9.1
53.2,1.42,19.51,-12.47
53.3,0.31,7.46,-3.33
53.4,-1.07,1.87,-0.34
53.5,-2.49,19.51,5.32
53.6,0.27,16.06,-6.58
53.7,2.1,2.64,-4.9
53.8,-1.03,-2.03,1.84
53.9,8.53,13.85,-12.24
54,5.62,15.26,-4.93
54.1,-5.62,13.04,-3.48
54.2,-1.11,3.52,0.04
54.3,-0.84,0.19,-0.04
54.4,6.85,19.51,-3.9
54.5,3.33,14.38,-11.4
54.6,-1.07,-1.07,-1.99
54.7,2.33,6,1.11
54.8,-9.64,9.41,-3.75
54.9,-2.6,13.65,-3.98
55,-0.46,4.59,-5.66
55.1,2.33,1.68,-2.41
55.2,7.27,19.51,-0.15
55.3,1.72,17.78,-13.58
55.4,-2.98,0.23,-1.64
55.5,1.87,1.26,-1.03
55.6,-9.26,18.4,-7.61
55.7,7.46,16.94,-10.52
55.8,-0.15,7.73,-4.02
55.9,-2.45,1.72,0.38
56,-5.55,4.59,2.26
56.1,4.4,16.37,-3.1
56.2,3.56,8.34,-7.15
56.3,-2.03,-2.41,-1.38
56.4,6.58,4.59,-10.14
56.5,0.96,12.74,-4.28
56.6,-4.63,13.08,-3.9074503
56.8,-0.38,0.19,-3.3374505
57,1.64,18.55,-14.04
57.1,-1.42,-0.73,-4.05
57.2,-2.26,-0.38,-0.38
57.3,-6.08,6.96,-2.29
57.4,3.14,16.45,-10.52
57.5,-1.61,8.07,-4.67
