NAME:,run_4_1 .csv,,
EXPERIMENT TIME:,24/05/2022 19:34,,
ACTIVITY TYPE:,Running,,
COUNT OF ACTUAL STEPS,150,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
2247.66,-20.01,15.81,20.01
2247.7,-17.34,2.31,12.12
2247.74,-7.3,3.96,1.96
2247.78,-9.02,1.65,1.84
2247.83,-0.9,1.8,-0.16
2247.87,3.57,-9.61,-2.86
2247.91,7.65,-3.02,-3.73
2247.95,-4.55,-0.16,1.1
2247.99,-7.73,6.79,9.96
2248.04,-20.01,4.71,16.79
2248.08,-13.69,-0.55,8.98
2248.12,-20.01,2.79,12.32
2248.16,-15.38,5.69,4.82
2248.2,-12.59,-3.73,-3.8
2248.25,-0.47,-2.47,-8.79
2248.29,-3.41,-3.88,-7.1
2248.33,-4.35,-1.33,-6.51
2248.37,-11.45,-5.96,-2.47
2248.41,-19.81,3.65,6.24
2248.46,-20.01,16.59,20.01
2248.5,-7.14,4.04,3.02
2248.54,-9.53,2.35,2.08
2248.58,-2.9,2.24,-0.35
2248.62,2,-3.77,-0.82
2248.67,14.91,-3.92,-7.96
2248.71,-10.79,-7.34,1.49
2248.75,-11.14,-7.85,18.4
2248.79,-20.01,9.3,20.01
2248.83,-13.45,19.38,2.63
2248.88,-20.01,0.31,10.67
2248.92,-20.01,3.77,9.61
2248.96,-17.57,7.45,-8.71
2249,-5.65,-6.51,-3.96
2249.04,-2.51,-3.41,-6.79
2249.09,-2.67,-1.45,-4.08
2249.13,-4.86,-1.84,-5.73
2249.17,-15.1,-8.36,3.49
2249.21,-20.01,8.28,11.34
2249.25,-16.87,3.37,7.65
2249.3,-6.2,4.43,1.22
2249.34,-8.08,2.51,1.88
2249.38,0.94,2.9,1.1
2249.42,0.63,-3.49,-2.16
2249.46,14.16,-4.35,-9.49
2249.51,-6.08,-5.26,1.41
2249.55,-7.22,-2.55,9.45
2249.59,-20.01,7.53,20.01
2249.63,-13.93,6.9,9.57
2249.67,-20.01,-1.33,10.9
2249.72,-20.01,3.84,7.37
2249.76,-18.87,-7.65,-10.94
2249.8,-0.82,-5.41,-6.59
2249.84,-4.82,-3.49,-4.16
2249.88,-3.53,-2.79,-4.51
2249.93,-4.79,-5.65,-5.73
2249.97,-16.28,-1.77,3.26
2250.01,-20.01,13.85,20.01
2250.05,-8.32,6.98,7.88
2250.09,-6.35,3.14,0.47
2250.14,-1.8,2.82,3.02
2250.18,0.27,-2.12,1.65
2250.22,15.14,-8.28,-7.53
2250.26,-4.79,0.08,-3.61
2250.3,13.3,16.08,-19.77
2250.35,-11.85,15.89,15.97
2250.39,-19.06,19.61,8.16
2250.43,-20.01,4.39,9.38
2250.47,-20.01,3.33,5.77
2250.51,-16.44,-0.67,-5.53
