NAME:,run2,,
EXPERIMENT TIME:,24-05-22 16:40,,
Activity,Running,,
COUNT OF ACTUAL STEPS,125,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
36.259,0.2,0.08,1.02
36.305,-2.28,-1.57,-0.16
36.348,1.61,5.02,8.75
36.395,-20.01,16.67,19.5
36.442,-12,13.89,17.81
36.487,-14.08,12.43,8.36
36.533,-11.96,13.89,4.31
36.577,-5.92,6.79,1.96
36.621,1.26,0.24,-3.1
36.665,0.39,-2.82,-3.18
36.708,0.55,0.27,1.18
36.753,-3.73,0.9,-0.51
36.797,0.82,3.3,-2.55
36.844,-20.01,-1.77,19.38
36.89,-19.38,19.34,19.73
36.935,-17.69,7.06,2.9
36.981,-13.53,15.85,7.85
37.026,-9.57,10.2,1.77
37.071,-4.24,2.39,-1.61
37.114,1.45,1.02,-0.9
37.159,0,-1.8,-1.8
37.203,0.47,-0.31,1.18
37.249,-3.49,-0.47,-1.29
37.292,0.71,4.79,2.55
37.337,-20.01,7.57,20.01
37.384,-17.97,12.12,16
37.429,-9.49,12.2,8.51
37.475,-16.36,16.2,2.24
37.519,-6.16,8.16,1.33
37.563,-0.35,1.65,-1.14
37.608,0.2,-3.22,-3.22
37.653,-1.18,-0.67,0.08
37.698,-2.67,0.24,-0.04
37.743,-1.65,3.73,-1.65
37.788,-15.93,7.14,15.53
37.835,-20.01,13.38,14.47
37.881,-17.18,13.1,6.94
37.927,-11.77,15.34,8.28
37.971,-7.81,9.41,1.53
38.015,-4.04,1.69,-1.45
