NAME:,yoniwal1.csv,,
EXPERIMENT TIME:,Tue May 24 16:48:04 GMT+03:00 2022,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS:,74,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
737.53,-0.27,8.83,3.33
737.58,2.94,10.16,2.39
737.64,0.55,13.69,-0.2
737.69,3.3,10.2,1.37
737.74,0.71,10.2,2.39
737.8,3.02,8.28,0.47
737.85,1.73,8.16,1.1
737.91,2.59,8.55,1.88
737.96,1.53,8.59,2.59
738.01,1.22,6.83,2.9
738.07,1.29,6.67,3.49
738.12,0.94,7.69,4.59
738.18,1.49,8.55,5.33
738.23,1.45,9.53,4.28
738.28,1.06,11.1,7.49
738.34,5.96,11.26,2.16
738.39,5.37,7.73,4.0
738.45,2.12,8.79,0.35
738.5,2.94,9.92,1.14
738.55,2.04,8.71,0.24
738.61,0.9,8.12,0.63
738.66,0.24,8.32,2.0
738.72,-0.16,9.02,2.16
738.77,0.24,9.22,2.24
738.82,1.02,8.9,1.77
738.88,1.61,8.63,2.12
738.93,1.14,8.67,1.69
738.98,1.14,9.14,1.96
739.04,0.08,10.43,2.2
739.09,-1.53,9.81,1.92
739.15,1.33,10.63,1.02
739.2,1.29,10.43,1.45
739.26,5.41,11.41,-0.78
739.31,1.14,10.12,2.82
739.36,0.98,9.45,2.28
739.42,1.02,7.22,1.41
739.47,1.45,9.18,1.49
739.53,2.2,8.67,2.71
739.58,1.18,7.26,3.53
739.63,0.75,6.71,4.12
739.69,0.59,7.88,4.86
739.74,1.02,8.24,4.63
739.79,2.04,8.87,5.1
739.85,1.73,10.32,6.75
739.9,1.65,7.92,8.12
739.96,8.63,16.59,-3.41
740.01,3.02,4.39,2.39
740.07,3.65,6.98,-0.75
740.12,4.82,8.12,0.98
740.17,2.79,7.37,1.33
740.23,0.24,8.08,1.41
740.28,0.08,8.79,2.04
740.34,0.16,9.38,2.16
740.39,0.63,8.79,1.88
740.44,0.35,8.75,2.24
740.5,0.55,8.9,1.8
740.55,0.55,9.61,1.69
740.6,0.16,10,2.79
740.66,0.16,9.57,1.33
740.71,1.33,12.04,0.71
740.77,7.06,13.69,0.2
740.82,3.1,8.98,2.79
740.88,1.18,9.85,1.33
740.93,1.8,9.69,0.51
740.98,2.31,8.94,1.1
741.04,3.33,7.61,1.8
741.09,1.29,7.96,3.1
741.14,0.94,6.67,3.53
741.2,0.71,6.94,4.59
741.25,1.14,7.53,4.75
741.31,1.61,9.3,3.77
741.36,1.53,10.83,4.59
741.41,0.82,10,7.85
741.47,9.34,12.55,0.43
741.52,5.26,8.79,3.57
741.57,0.86,7.69,0.94
741.63,4.63,11.06,0.82
741.68,1.8,7.96,1.22
741.74,-0.39,8.2,1.69
741.79,0.59,7.96,1.96
741.84,1.45,8.63,1.92
741.9,0.86,9.02,1.88
741.95,0.35,9.57,1.37
742.01,0.51,8.79,2.04
742.06,0.67,8.9,1.8
742.11,0.39,9.41,2.08
742.17,-0.24,9.81,1.45
742.22,-0.51,10.32,1.96
742.28,-0.2,9.69,2.9
742.33,0.86,11.81,2.08
742.38,7.26,12.12,-0.67
742.44,2.28,8.47,2.04
742.49,-0.04,11.06,3.06
742.55,1.41,8.24,0.24
742.6,0.27,8.04,1.49
742.65,3.22,7.92,2.47
742.71,1.65,8.36,3.18
742.76,0.31,6.86,3.73
742.82,0.16,6.75,4.67
742.87,0.43,7.88,4.98
742.92,1.8,9.49,4.98
742.98,2.43,9.38,5.81
743.03,2.67,10.9,6.24
743.09,8.12,14.55,-0.82
743.14,4.12,6.94,2.47
743.19,1.1,9.49,-0.82
743.25,4.2,6.86,1.57
743.3,2.67,7.14,0.59
743.35,0.24,7.88,1.33
743.41,-0.47,8.63,2.71
743.46,0.04,9.53,1.29
743.52,0.39,9.18,1.84
743.57,0.94,8.79,1.8
743.63,1.69,8.98,1.65
743.68,0.43,8.87,1.69
743.73,-0.2,10.28,1.61
743.79,0.27,9.34,2.63
743.84,1.73,10.04,1.14
743.9,0.51,11.53,1.88
743.95,5.22,12.94,0.43
744,2.82,8.67,2.0
744.06,1.22,8.55,2.43
744.11,2.79,9.65,0.78
744.16,1.65,7.81,1.69
744.22,2.43,9.14,1.77
744.27,1.92,7.85,2.9
744.33,0.9,7.49,3.45
744.38,1.1,6.9,3.84
744.43,1.06,7.22,4.2
744.49,1.37,8.32,3.84
744.54,1.49,9.53,4.51
744.6,2.08,10.2,5.65
744.65,2.55,11.45,5.41
744.71,5.45,15.57,7.37
744.76,3.22,3.88,0.47
744.81,3.18,9.14,0.82
744.87,4,12.79,2.59
744.92,0.94,7.45,1.65
744.97,1.26,8.04,2.12
745.03,0.59,8.9,1.1
745.08,1.29,7.88,2.59
745.14,-0.08,8.83,2.28
745.19,1.06,9.41,1.73
745.24,0.51,8.79,2.12
745.3,0.12,8.75,2.2
745.35,1.06,10,1.8
745.41,-1.02,9.73,2.94
745.46,1.02,9.77,1.65
745.51,0,11.96,1.41
745.57,5.92,12.75,-0.82
745.62,3.02,9.34,2.08
745.68,0.55,9.34,2.43
745.73,1.8,9.26,0.98
745.78,1.53,8.51,1.26
745.84,3.1,8.51,2.39
745.89,1.53,7.61,2.79
745.95,0.71,7.88,3.73
746,0.98,7.14,4.28
746.05,0.94,7.34,4.79
746.11,1.18,8.32,4.35
746.16,2.08,10.08,3.96
746.22,0.2,9.38,7.34
746.27,5.92,10.43,2.55
746.32,7.41,17.14,2.12
746.38,2.31,3.96,1.02
746.43,1.29,7.53,0.94
746.48,3.77,8,0.35
746.54,1.92,8.08,0.82
746.59,-0.47,8.2,0.82
746.65,-0.2,9.26,2.24
746.7,0.82,9.22,1.84
746.76,1.45,8.67,1.8
746.81,0.24,9.1,2.16
746.86,0.9,9.18,1.77
746.92,1.18,9.06,1.61
746.97,1.29,9.73,2.04
747.03,-1.06,9.77,2.55
747.08,1.33,8.87,1.53
747.13,1.18,10.83,1.73
747.19,4.35,11.38,-1.06
747.24,2.35,11.02,2.12
747.29,1.61,8.59,0.86
747.35,1.65,7.92,0.82
747.4,2.24,8.55,1.61
747.46,2.82,8.2,2.67
747.51,0.94,7.81,3.02
747.56,0.59,7.45,3.65
747.62,0.67,7.18,4.28
747.67,0.63,7.61,4.67
747.73,0.78,8.79,4.2
747.78,1.84,9.96,5.1
747.83,-0.24,9.02,7.53
747.89,5.88,11.77,2.71
747.94,7.69,15.02,4.12
747.99,1.8,4.28,4.35
748.05,2.82,10.4,-0.24
748.1,4.2,5.96,1.29
748.16,2.39,7.06,0.35
748.21,0.08,10,0.59
748.26,0.16,8.36,2.47
748.32,0.82,8.98,2.43
748.37,0.94,8.79,2.28
748.42,0.39,8.98,1.73
748.48,0.27,8.83,1.73
748.53,0.04,10.2,1.53
748.59,0.43,10.04,2.79
748.64,-0.63,8.75,1.57
748.69,2.35,11.3,2.51
748.75,6.32,13.1,0.0
748.8,2.2,11.1,2.35
748.85,-0.2,8.9,2.75
748.91,2.55,7.92,-0.63
748.96,2.08,7.81,1.18
749.02,3.61,7.57,2.08
749.07,1.73,8.55,3.1
749.12,0.55,7.06,3.33
749.18,0.63,6.94,4.0
749.23,1.37,7.45,4.47
749.28,1.73,8.51,4.71
749.34,2.67,9.65,3.73
749.39,1.84,10.79,6.63
749.45,7.96,15.89,-0.59
749.5,6.28,6.47,4.94
749.55,0.47,9.06,0.9
749.61,3.96,9.3,1.06
749.66,3.49,6.12,0.98
749.71,0.43,8.28,1.1
749.77,0.35,8.51,1.84
749.82,0.63,8.71,2.28
749.88,0.9,9.14,2.28
749.93,0.78,8.71,2.12
749.98,1.14,8.87,1.77
750.04,0.43,8.83,2.24
750.09,0.43,9.49,2.31
750.14,0.47,8.9,3.02
750.2,0.47,10.59,1.06
750.25,0.55,10.98,2.24
750.3,4.43,12.08,0.2
750.36,2.82,7.65,1.73
750.41,1.22,9.92,2.9
750.47,2.16,10,1.65
750.52,1.88,8.43,1.37
750.58,2.51,8.43,2.16
750.63,2.35,7.73,2.63
750.68,0.63,7.06,3.49
750.74,0.78,7.61,4.08
750.79,0.67,7.49,4.67
750.84,1.18,7.77,4.86
750.9,2,9.41,5.61
750.95,2.08,9.85,6.86
751.01,3.96,10.59,5.1
751.06,3.65,16.16,3.06
751.11,3.65,4.71,3.06
751.17,3.45,9.92,-1.22
751.22,3.26,7.53,1.37
751.27,2.24,7.81,1.8
751.33,0.82,8.32,2.08
751.38,0.43,8.39,2.51
751.43,-0.16,9.02,2.47
751.49,1.45,8.83,2.31
751.54,1.1,8.98,2.31
751.6,-0.24,8.83,2.55
751.65,0.78,9.02,1.57
751.7,1.33,9.81,2.2
751.76,-1.69,10.59,2.35
751.81,0.9,9.73,2.16
751.86,-0.43,11.57,2.31
751.92,6.04,10.9,-0.59
751.97,2.9,7.3,2.59
752.03,1.06,11.18,3.1
752.08,2.39,9.69,0.27
752.14,1.8,7.69,1.77
752.19,3.61,8.12,2.2
752.24,1.18,7.85,2.51
752.3,0.86,6.28,3.84
752.35,0.55,7.96,4.24
752.4,0.94,8.08,4.43
752.46,1.57,9.02,4.35
752.51,1.8,9.02,4.75
752.57,0.08,9.22,6.43
752.62,4.67,9.73,5.1
752.67,6.28,16.28,1.92
752.73,2.39,5.06,3.3
752.78,3.41,7.92,0.04
752.84,2.9,7.85,3.06
752.89,0.98,7.37,0.86
752.94,0.59,8.43,2.2
753,0.94,7.69,2.43
753.05,1.26,9.65,2.16
753.1,0.16,8.87,2.35
753.16,-0.71,8.79,2.67
753.21,0.59,8.83,2.28
753.27,1.06,8.87,2.51
753.32,0.94,10.63,1.57
753.38,-1.53,9.49,2.75
753.43,1.69,11.53,2.94
753.48,4.98,11.96,0.67
753.54,3.65,8.71,1.96
753.59,1.65,9.02,1.92
753.65,3.3,8.79,0.24
753.7,2.35,8.36,1.45
753.75,2.86,9.22,1.45
753.81,2.08,8.32,2.67
753.86,1.22,8.43,3.69
753.91,1.1,7.41,4.08
753.97,0.94,7.22,4.63
754.02,1.02,7.06,4.75
754.08,1.69,8.71,4.59
754.13,2.28,9.96,4.63
754.18,4.67,11.65,3.73
754.24,5.22,15.06,4.51
754.29,2.39,3.3,1.37
754.35,2.79,9.73,0.04
754.4,2.98,8.28,0.94
754.46,2.31,7.02,1.29
754.51,0.75,8.36,1.49
754.56,0.63,8.16,1.57
754.62,-0.55,8.98,2.08
754.67,1.26,9.06,3.18
754.72,0.94,8.28,2.28
754.78,1.73,8.67,1.73
754.83,-0.08,9.06,1.77
754.89,0.75,9.53,1.88
754.94,0.31,10.12,2.31
754.99,1.33,9.85,1.84
755.05,-1.1,11.73,2.39
755.1,5.26,10.43,0.16
755.16,3.06,8.59,2.63
755.21,1.37,9.53,2.39
755.26,2.51,9.34,0.43
755.32,2.04,8.79,1.22
